Code,Title,Code,Rating,Rating Count,Rank
tt4158110,Mr. Robot,tt4158110,8.5,"275,557",185
tt2243973,Hannibal,tt2243973,8.5,"201,191",186
tt5425186,Horace and Pete,tt5425186,8.5,"12,912",187
tt4093826,Twin Peaks,tt4093826,8.5,"42,518",188
tt1758429,Spartacus: Gods of the Arena,tt1758429,8.5,"114,463",189
tt0061287,The Prisoner,tt0061287,8.5,"11,182",190
tt2701582,Endeavour,tt2701582,8.5,"14,032",191
tt1474684,Luther,tt1474684,8.5,"104,721",192
tt0098825,House of Cards,tt0098825,8.5,"11,998",193
tt1124373,Sons of Anarchy,tt1124373,8.5,"229,299",194
tt0080297,Tinker Tailor Soldier Spy,tt0080297,8.5,"6,782",195
tt0129690,I'm Alan Partridge,tt0129690,8.5,"16,531",196
tt0149460,Futurama,tt0149460,8.5,"194,390",197
tt0075520,Jesus of Nazareth,tt0075520,8.5,"17,456",198
tt0346314,Kôkaku kidôtai: Stand Alone Complex,tt0346314,8.5,"16,048",199
tt2937900,The Knick,tt2937900,8.5,"38,986",200
tt4082744,Detectorists,tt4082744,8.5,"7,994",201
tt2788432,American Crime Story,tt2788432,8.5,"66,511",202
tt2528254,This Is England '90,tt2528254,8.5,"5,208",203
tt4189022,Ash vs Evil Dead,tt4189022,8.5,"56,307",204
tt2433738,Wentworth,tt2433738,8.5,"14,125",205
tt1439629,Community,tt1439629,8.5,"173,798",206
tt1442449,Spartacus,tt1442449,8.5,"204,209",207
tt0182629,Rurouni Kenshin: Wandering Samurai,tt0182629,8.4,"15,487",208
tt0417373,The Venture Bros.,tt0417373,8.4,"21,798",209
tt0070644,Scenes from a Marriage,tt0070644,8.4,"13,718",210
tt0103584,X-Men: The Animated Series,tt0103584,8.4,"33,167",211
tt1883092,Generation War,tt1883092,8.4,"21,421",212
tt1795096,Behzat Ç.: Bir Ankara Polisiyesi,tt1795096,8.4,"23,167",213
tt0115147,The Daily Show,tt0115147,8.4,"41,946",214
tt0458254,The Colbert Report,tt0458254,8.4,"36,598",215
tt1695360,The Legend of Korra,tt1695360,8.4,"85,000",216
tt8714904,Narcos: Mexico,tt8714904,8.4,"31,025",217
tt8398600,After Life,tt8398600,8.4,"33,902",218
tt3428912,Happy Valley,tt3428912,8.4,"27,564",219
tt3647998,Taboo,tt3647998,8.4,"98,876",220
tt0397150,Garth Marenghi's Darkplace,tt0397150,8.4,"14,317",221
tt0319969,Carnivàle,tt0319969,8.4,"40,047",222
tt0278238,Samurai Jack,tt0278238,8.4,"39,384",223
tt0083466,Police Squad!,tt0083466,8.4,"13,828",224
tt0388629,One Piece: Wan pîsu,tt0388629,8.4,"55,423",225
tt1632701,Suits,tt1632701,8.4,"324,466",226
tt2384811,Utopia,tt2384811,8.4,"35,230",227
tt1230180,The Angry Video Game Nerd,tt1230180,8.4,"12,993",228
tt0088491,The Bugs Bunny/Looney Tunes Comedy Hour,tt0088491,8.4,"14,601",229
tt1526318,Borgen,tt1526318,8.4,"14,855",230
tt2674806,Inside No. 9,tt2674806,8.4,"8,176",231
tt0056751,Doctor Who,tt0056751,8.4,"32,685",232
tt0387199,Entourage,tt0387199,8.4,"151,374",233
tt0362192,State of Play,tt0362192,8.4,"8,603",234
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,tt6205862,8.4,"18,676",235
tt1442437,Modern Family,tt1442437,8.4,"310,603",236
tt0074028,The Muppet Show,tt0074028,8.4,"20,679",237
tt7259746,Queer Eye,tt7259746,8.3,"9,774",238
tt3230854,The Expanse,tt3230854,8.3,"68,988",239
tt2467372,Brooklyn Nine-Nine,tt2467372,8.3,"145,746",240
tt7562112,Pose,tt7562112,8.3,"7,333",241
tt0098833,Jeeves and Wooster,tt0098833,8.3,"10,948",242
tt5687612,Fleabag,tt5687612,8.3,"17,160",243
tt1119644,Fringe,tt1119644,8.3,"206,035",244
tt4270492,Billions,tt4270492,8.3,"53,610",245
tt7767422,Sex Education,tt7767422,8.3,"60,810",246
tt3671754,Kardes Payi,tt3671754,8.3,"13,248",247
tt7078180,Violet Evergarden,tt7078180,8.3,"5,058",248
tt2149175,The Americans,tt2149175,8.3,"72,542",249
tt4156586,Permanent Roommates,tt4156586,8.3,"18,829",250
